context,dataset,sequence_id,model,ridge_id,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,n_origins
UZH_TO_EUROC,EUROC,V1_01_easy,GRU,,0.5104666487,0.3829568506,0.4369249234,0.5059145259,0.5789727353,2868
UZH_TO_EUROC,EUROC,V1_02_medium,GRU,,0.7221675058,0.5223842655,0.5595690979,0.6979241908,0.8371317211,1666
UZH_TO_EUROC,EUROC,V1_03_difficult,GRU,,0.7731166547,0.5800246788,0.6198890102,0.7707909945,0.9136138991,2106
UZH_TO_EUROC,EUROC,V2_01_easy,GRU,,0.9497456778,0.5804763744,0.8879775376,0.9201739536,0.9476988402,2236
UZH_TO_EUROC,EUROC,V2_02_medium,GRU,,0.9147573936,0.6593961408,0.7843601022,0.912632546,1.043008008,2305
UZH_TO_EUROC,EUROC,V2_03_difficult,GRU,,0.9579908658,0.6656328936,0.8714896147,0.9813104993,1.060323138,2293
UZH_TO_EUROC,EUROC,V1_01_easy,Transformer,,0.5121124068,0.38291893,0.4681086108,0.5150105381,0.5886031505,2868
UZH_TO_EUROC,EUROC,V1_02_medium,Transformer,,0.7243424698,0.5298389161,0.5779960318,0.6896863153,0.8335933454,1666
UZH_TO_EUROC,EUROC,V1_03_difficult,Transformer,,0.7914370094,0.5933770683,0.6601005319,0.7895884788,0.9225422566,2106
UZH_TO_EUROC,EUROC,V2_01_easy,Transformer,,0.9475556423,0.593544754,0.8523050188,0.9437688931,0.9477306212,2236
UZH_TO_EUROC,EUROC,V2_02_medium,Transformer,,0.9378466497,0.6857192555,0.7926162122,0.9268759154,1.044714946,2305
UZH_TO_EUROC,EUROC,V2_03_difficult,Transformer,,0.9879778579,0.6926622331,0.8899559515,1.002747633,1.077582896,2293
WITHIN_EUROC,EUROC,V1_01_easy,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.4282225119,0.3043789743,0.3887500534,0.4458422959,0.4872406281,2868
WITHIN_EUROC,EUROC,V1_02_medium,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.637054547,0.4511406698,0.5040662425,0.6343114144,0.7515058593,1666
WITHIN_EUROC,EUROC,V1_03_difficult,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.6725911889,0.4846249287,0.5724091869,0.7015790705,0.8147995626,2106
WITHIN_EUROC,EUROC,V2_01_easy,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.9015393238,0.4907928605,0.8473323209,0.9337870278,0.8994161702,2236
WITHIN_EUROC,EUROC,V2_02_medium,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.8325012431,0.58633135,0.6983122831,0.8606871693,0.9587235994,2305
WITHIN_EUROC,EUROC,V2_03_difficult,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.8976286138,0.592278402,0.8463400702,0.9430122634,0.9878398666,2293
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,3.481177485,1.467635551,2.906471625,3.553170218,3.757695509,1349
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.767715293,0.53338349,0.6528260173,0.802294035,0.9234883039,1493
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.8934917377,0.5374880314,0.8666014437,0.9491702234,1.045820644,1482
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.105835822,0.7279284654,2.04511079,2.260983319,2.247219071,1450
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.468347002,0.6972275042,2.348515034,2.841583134,2.803034646,1281
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,1.929808891,0.639135891,2.016320689,2.253245103,2.163739027,1195
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.354346371,1.087761216,2.009730399,2.172572627,2.315341642,1247
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,1.544402622,0.6246689345,1.819667168,1.92476079,1.934971649,1672
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,3.809991061,1.656894814,2.941232051,3.86664676,4.197145688,1349
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.8969342115,0.6867900035,0.6493831642,0.9007962863,1.218089811,1493
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,1.048908765,0.7152344998,0.8905262737,1.063640149,1.415467762,1482
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.140724636,0.694141432,1.942751196,2.372893588,2.43777732,1450
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.634099239,0.7502059428,2.473919788,2.962062762,2.979331859,1281
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.000733662,0.700172331,2.080450341,2.257109401,2.368599895,1195
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,2.41386418,1.068329213,1.957983306,2.238721393,2.426011483,1247
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,Source-selected B3 Ridge,B3_RIDGE_QF_QW,1.575942302,0.7085513011,1.819311825,1.981883773,1.915945263,1672
UZH_TO_EUROC,EUROC,V1_01_easy,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.5410642188,0.4083870952,0.4521757678,0.5477815402,0.6179722149,2868
UZH_TO_EUROC,EUROC,V1_02_medium,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.7507697247,0.5589241418,0.590538284,0.7450645635,0.8473244146,1666
UZH_TO_EUROC,EUROC,V1_03_difficult,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.8237023204,0.6302279628,0.675485324,0.8451833736,0.9404767745,2106
UZH_TO_EUROC,EUROC,V2_01_easy,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.9476975315,0.6125092693,0.8092181149,0.926493105,0.9664093919,2236
UZH_TO_EUROC,EUROC,V2_02_medium,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.945715906,0.7019455409,0.7633988158,0.942851801,1.066095681,2305
UZH_TO_EUROC,EUROC,V2_03_difficult,Source-selected B3 Ridge,B3_RIDGE_QF_QW,0.9758729315,0.7038883308,0.8925693165,1.001055105,1.082625896,2293
