context,model,horizon_step,horizon_ms,mean_sequence_rmse,ci_low,ci_high
EUROC_TO_UZH,GRU,8,80,2.000386669,1.317554991,2.790652493
EUROC_TO_UZH,GRU,9,90,2.021185786,1.408455995,2.761740362
EUROC_TO_UZH,GRU,10,100,2.09315409,1.503730158,2.723347348
EUROC_TO_UZH,GRU,11,110,2.151621988,1.542946937,2.784617169
EUROC_TO_UZH,GRU,12,120,2.136726522,1.462077939,2.867830532
EUROC_TO_UZH,GRU,13,130,2.097285067,1.436580584,2.885261567
EUROC_TO_UZH,GRU,14,140,2.112746475,1.523752126,2.842559318
EUROC_TO_UZH,GRU,15,150,2.184701571,1.62038783,2.811252132
EUROC_TO_UZH,GRU,16,160,2.232959721,1.638147413,2.855472442
EUROC_TO_UZH,GRU,17,170,2.211883001,1.544642147,2.943143926
EUROC_TO_UZH,GRU,18,180,2.164994083,1.515995124,2.941548287
EUROC_TO_UZH,GRU,19,190,2.178707386,1.601114281,2.90614678
EUROC_TO_UZH,GRU,20,200,2.268338506,1.713709159,2.912190346
EUROC_TO_UZH,Transformer,1,10,1.985955862,1.363576629,2.624410173
EUROC_TO_UZH,Transformer,2,20,1.999850572,1.313868075,2.739199969
EUROC_TO_UZH,Transformer,3,30,1.977867358,1.293073581,2.790558844
EUROC_TO_UZH,Transformer,4,40,1.978933825,1.362105551,2.728889872
EUROC_TO_UZH,Transformer,5,50,2.054323694,1.46842389,2.682379147
EUROC_TO_UZH,Transformer,6,60,2.168040528,1.541627679,2.829940203
EUROC_TO_UZH,Transformer,7,70,2.149386131,1.455304806,2.918942114
EUROC_TO_UZH,Transformer,8,80,2.06190069,1.394074123,2.862537122
EUROC_TO_UZH,Transformer,9,90,2.105690096,1.499261215,2.85948247
EUROC_TO_UZH,Transformer,10,100,2.172996027,1.59907391,2.825892526
EUROC_TO_UZH,Transformer,11,110,2.301886369,1.688442398,2.964235541
EUROC_TO_UZH,Transformer,12,120,2.27909555,1.599960423,3.049075888
EUROC_TO_UZH,Transformer,13,130,2.22011423,1.556134845,3.034300429
EUROC_TO_UZH,Transformer,14,140,2.241429662,1.651511194,3.010566364
EUROC_TO_UZH,Transformer,15,150,2.294431674,1.738250552,2.948584218
EUROC_TO_UZH,Transformer,16,160,2.353503383,1.769959378,2.991253469
EUROC_TO_UZH,Transformer,17,170,2.33309991,1.674239876,3.087451866
EUROC_TO_UZH,Transformer,18,180,2.319979305,1.66042386,3.140016614
EUROC_TO_UZH,Transformer,19,190,2.293886167,1.728663765,3.044268183
EUROC_TO_UZH,Transformer,20,200,2.390249124,1.848923299,3.047985041
UZH_TO_EUROC,Persistence,1,10,0.4938250224,0.4029993692,0.5804462046
UZH_TO_EUROC,Persistence,2,20,0.7773272208,0.6353354298,0.9092796292
UZH_TO_EUROC,Persistence,3,30,0.811504833,0.6728777075,0.9423053063
UZH_TO_EUROC,Persistence,4,40,0.7575635961,0.6174547592,0.8920017622
UZH_TO_EUROC,Persistence,5,50,0.7514938847,0.5904756387,0.9096720324
UZH_TO_EUROC,Persistence,6,60,0.7812461404,0.6143495955,0.9484343039
UZH_TO_EUROC,Persistence,7,70,0.8396718193,0.6682732522,1.010316383
UZH_TO_EUROC,Persistence,8,80,0.906149522,0.7263321006,1.079543484
UZH_TO_EUROC,Persistence,9,90,0.9296788064,0.7470990884,1.104984891
UZH_TO_EUROC,Persistence,10,100,0.911398473,0.7267335155,1.086910321
UZH_TO_EUROC,Persistence,11,110,0.9227102094,0.7374082999,1.100758136
UZH_TO_EUROC,Persistence,12,120,0.9667428942,0.771867224,1.145155711
UZH_TO_EUROC,Persistence,13,130,0.9852100451,0.7982139813,1.148037885
UZH_TO_EUROC,Persistence,14,140,0.9911915153,0.8113466774,1.14355136
UZH_TO_EUROC,Persistence,15,150,1.004233687,0.8191135256,1.163927915
UZH_TO_EUROC,Persistence,16,160,1.022387904,0.8320553761,1.19247377
UZH_TO_EUROC,Persistence,17,170,1.043837376,0.8498191298,1.21387807
UZH_TO_EUROC,Persistence,18,180,1.057135146,0.8634338919,1.20580556
UZH_TO_EUROC,Persistence,19,190,1.067042637,0.8807947365,1.210027189
UZH_TO_EUROC,Persistence,20,200,1.078228258,0.8904211438,1.232069407
UZH_TO_EUROC,Source-selected B3 Ridge,1,10,0.4053713959,0.3333389835,0.4709044307
UZH_TO_EUROC,Source-selected B3 Ridge,2,20,0.7333532131,0.6069845705,0.8482268261
UZH_TO_EUROC,Source-selected B3 Ridge,3,30,0.7769268005,0.6494781167,0.8886608888
UZH_TO_EUROC,Source-selected B3 Ridge,4,40,0.7304168767,0.6173507018,0.832847354
UZH_TO_EUROC,Source-selected B3 Ridge,5,50,0.6972309372,0.5784827945,0.8070765004
UZH_TO_EUROC,Source-selected B3 Ridge,6,60,0.7391769123,0.6052836859,0.862844038
UZH_TO_EUROC,Source-selected B3 Ridge,7,70,0.7910967199,0.6466480466,0.9175591781
UZH_TO_EUROC,Source-selected B3 Ridge,8,80,0.8204812002,0.6822397644,0.9314221104
UZH_TO_EUROC,Source-selected B3 Ridge,9,90,0.8336356493,0.7107321615,0.9377675677
UZH_TO_EUROC,Source-selected B3 Ridge,10,100,0.834738248,0.7068992324,0.9432483818
UZH_TO_EUROC,Source-selected B3 Ridge,11,110,0.8498991839,0.711665659,0.9649510835
UZH_TO_EUROC,Source-selected B3 Ridge,12,120,0.8838681443,0.7327522392,1.002175959
UZH_TO_EUROC,Source-selected B3 Ridge,13,130,0.8921655039,0.7522280781,1.001131386
UZH_TO_EUROC,Source-selected B3 Ridge,14,140,0.8936305137,0.7662604105,0.9946336665
UZH_TO_EUROC,Source-selected B3 Ridge,15,150,0.8960985202,0.7647104174,1.007682938
UZH_TO_EUROC,Source-selected B3 Ridge,16,160,0.91477,0.7734948809,1.033146489
UZH_TO_EUROC,Source-selected B3 Ridge,17,170,0.9468015538,0.7926137354,1.064140066
UZH_TO_EUROC,Source-selected B3 Ridge,18,180,0.9411739218,0.7954110179,1.04726142
UZH_TO_EUROC,Source-selected B3 Ridge,19,190,0.9259377298,0.7949278004,1.027228357
UZH_TO_EUROC,Source-selected B3 Ridge,20,200,0.9201507288,0.7873906216,1.034054887
