context,model,metric,reported_value,recomputed_value,absolute_difference,relative_difference,tolerance,status
UZH_TO_EUROC,GRU,rmse_200ms,0.8967913903,0.8967913903,1.6666557023370387e-11,1.858465324672106e-11,1e-06,PASS
UZH_TO_EUROC,GRU,skill_vs_persistence,0.1224479116,0.1224479117,6.071988745137702e-11,4.958834059149198e-10,1e-06,PASS
UZH_TO_EUROC,Transformer,mean_seq_rmse,0.8168786727,0.8168786727,5.000000413701855e-11,6.120860515522497e-11,1e-06,PASS
UZH_TO_EUROC,Transformer,ci_low,0.675963962,0.675963962,0,0,1e-06,PASS
UZH_TO_EUROC,Transformer,ci_high,0.935009942,0.935009942,1.6666557023370387e-11,1.7825005141357512e-11,1e-06,PASS
UZH_TO_EUROC,Transformer,median_seq_rmse,0.8646418296,0.8646418296,5.000000413701855e-11,5.7827417579542173e-11,1e-06,PASS
UZH_TO_EUROC,Transformer,mean_mae,0.5796768595,0.5796768595,0,0,1e-06,PASS
UZH_TO_EUROC,Transformer,rmse_50ms,0.7068470595,0.7068470595,1.1102230246251565e-16,1.570669368576692e-16,1e-06,PASS
UZH_TO_EUROC,Transformer,rmse_100ms,0.8112796289,0.811279629,5.000000413701855e-11,6.163103615064597e-11,1e-06,PASS
UZH_TO_EUROC,Transformer,rmse_200ms,0.9024612026,0.9024612026,1.6666779067975313e-11,1.8468139150977516e-11,1e-06,PASS
UZH_TO_EUROC,Transformer,skill_vs_persistence,0.1091749204,0.1091749204,1.7169723975918316e-11,1.572680237641677e-10,1e-06,PASS
WITHIN_EUROC,TCN,mean_paired_delta,0.006857312852,0.006857312867,1.4666659380047076e-11,2.1388348025815108e-09,1e-06,PASS
WITHIN_EUROC,TCN,median_paired_delta,0.009079663298,0.0090796633,2.0000130024344642e-12,2.2027391730208896e-10,1e-06,PASS
WITHIN_EUROC,TCN,ci_low_delta,-0.005129755796,-0.005129755767,2.933331182120025e-11,5.718266714386933e-09,1e-06,PASS
WITHIN_EUROC,TCN,ci_high_delta,0.01567319181,0.01567319182,6.666653340481332e-12,4.2535390501810823e-10,1e-06,PASS
WITHIN_EUROC,TCN,wins,1,1,0,0,1e-06,PASS
WITHIN_EUROC,TCN,losses,5,5,0,0,1e-06,PASS
WITHIN_EUROC,GRU,mean_paired_delta,0.003326969642,0.00332696965,7.999992595458805e-12,2.404588396138664e-09,1e-06,PASS
WITHIN_EUROC,GRU,median_paired_delta,0.009570127648,0.00957012765,1.9999817774118966e-12,2.0898172427510515e-10,1e-06,PASS
WITHIN_EUROC,GRU,ci_low_delta,-0.009797523318,-0.009797523333,1.5333354377866648e-11,1.5650235146362168e-09,1e-06,PASS
WITHIN_EUROC,GRU,ci_high_delta,0.01376885872,0.01376885875,3.0000000747487654e-11,2.178829876721086e-09,1e-06,PASS
WITHIN_EUROC,GRU,wins,2,2,0,0,1e-06,PASS
WITHIN_EUROC,GRU,losses,4,4,0,0,1e-06,PASS
