evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
UZH_TO_EUROC,GRU,12,120,0.8432347378
UZH_TO_EUROC,GRU,13,130,0.865875265
UZH_TO_EUROC,GRU,14,140,0.8548101631
UZH_TO_EUROC,GRU,15,150,0.8543845489
UZH_TO_EUROC,GRU,16,160,0.8737962498
UZH_TO_EUROC,GRU,17,170,0.8919031634
UZH_TO_EUROC,GRU,18,180,0.9085330727
UZH_TO_EUROC,GRU,19,190,0.896374632
UZH_TO_EUROC,GRU,20,200,0.8967913903
UZH_TO_EUROC,TRANSFORMER,1,10,0.5026146574
UZH_TO_EUROC,TRANSFORMER,2,20,0.7468062045
UZH_TO_EUROC,TRANSFORMER,3,30,0.7753072295
UZH_TO_EUROC,TRANSFORMER,4,40,0.7008334813
UZH_TO_EUROC,TRANSFORMER,5,50,0.7068470595
UZH_TO_EUROC,TRANSFORMER,6,60,0.7321467376
UZH_TO_EUROC,TRANSFORMER,7,70,0.7711237355
UZH_TO_EUROC,TRANSFORMER,8,80,0.803184919
UZH_TO_EUROC,TRANSFORMER,9,90,0.8239344886
UZH_TO_EUROC,TRANSFORMER,10,100,0.8112796289
UZH_TO_EUROC,TRANSFORMER,11,110,0.8234365367
UZH_TO_EUROC,TRANSFORMER,12,120,0.867438166
UZH_TO_EUROC,TRANSFORMER,13,130,0.8640592052
UZH_TO_EUROC,TRANSFORMER,14,140,0.870190917
UZH_TO_EUROC,TRANSFORMER,15,150,0.8761523579
UZH_TO_EUROC,TRANSFORMER,16,160,0.8902561573
UZH_TO_EUROC,TRANSFORMER,17,170,0.9131910651
UZH_TO_EUROC,TRANSFORMER,18,180,0.9223690574
UZH_TO_EUROC,TRANSFORMER,19,190,0.9007037408
UZH_TO_EUROC,TRANSFORMER,20,200,0.9024612026
