native_fs_hz,frequency_hz,magnitude_db,phase_rad
200,96.58203125,-73.80091781,-1.545311528
200,96.63085938,-73.92450549,-1.54567647
200,96.6796875,-74.04993816,-1.546041374
200,96.72851562,-74.17726985,-1.54640624
200,96.77734375,-74.30655707,-1.54677107
200,96.82617188,-74.43785887,-1.547135864
200,96.875,-74.5712371,-1.547500623
200,96.92382812,-74.70675649,-1.547865346
200,96.97265625,-74.84448489,-1.548230035
200,97.02148437,-74.98449348,-1.54859469
200,97.0703125,-75.12685696,-1.548959312
200,97.11914062,-75.27165378,-1.549323901
200,97.16796875,-75.41896643,-1.549688457
200,97.21679688,-75.56888172,-1.550052982
200,97.265625,-75.72149104,-1.550417476
200,97.31445312,-75.87689075,-1.550781939
200,97.36328125,-76.03518249,-1.551146373
200,97.41210937,-76.19647363,-1.551510776
200,97.4609375,-76.36087764,-1.551875151
200,97.50976562,-76.52851464,-1.552239497
200,97.55859375,-76.69951186,-1.552603816
200,97.60742188,-76.87400427,-1.552968107
200,97.65625,-77.05213515,-1.553332371
200,97.70507812,-77.23405688,-1.55369661
200,97.75390625,-77.41993163,-1.554060822
200,97.80273437,-77.6099323,-1.55442501
200,97.8515625,-77.80424342,-1.554789172
200,97.90039062,-78.00306227,-1.555153311
200,97.94921875,-78.20660006,-1.555517427
200,97.99804688,-78.41508326,-1.555881519
200,98.046875,-78.62875511,-1.556245589
200,98.09570312,-78.84787736,-1.556609638
200,98.14453125,-79.07273214,-1.556973665
200,98.19335937,-79.30362416,-1.557337671
200,98.2421875,-79.54088319,-1.557701657
200,98.29101562,-79.78486685,-1.558065624
200,98.33984375,-80.03596391,-1.558429571
200,98.38867188,-80.29459792,-1.5587935
200,98.4375,-80.56123158,-1.559157411
200,98.48632812,-80.83637164,-1.559521305
200,98.53515625,-81.12057473,-1.559885181
200,98.58398438,-81.41445411,-1.560249041
200,98.6328125,-81.7186876,-1.560612886
200,98.68164062,-82.03402703,-1.560976715
200,98.73046875,-82.36130934,-1.561340529
200,98.77929688,-82.70147002,-1.56170433
200,98.828125,-83.05555915,-1.562068116
200,98.87695312,-83.42476095,-1.56243189
200,98.92578125,-83.81041762,-1.562795651
200,98.97460938,-84.21405879,-1.5631594
200,99.0234375,-84.6374381,-1.563523138
200,99.07226562,-85.08257918,-1.563886864
200,99.12109375,-85.55183416,-1.564250581
200,99.16992187,-86.04795875,-1.564614287
200,99.21875,-86.5742103,-1.564977985
200,99.26757812,-87.1344774,-1.565341673
200,99.31640625,-87.73345434,-1.565705354
200,99.36523438,-88.37688033,-1.566069026
200,99.4140625,-89.07187461,-1.566432692
200,99.46289062,-89.82741783,-1.566796351
200,99.51171875,-90.65506337,-1.567160004
200,99.56054687,-91.57002485,-1.567523652
200,99.609375,-92.59290679,-1.567887295
200,99.65820312,-93.75259706,-1.568250934
200,99.70703125,-95.09140401,-1.568614568
200,99.75585938,-96.67491991,-1.5689782
200,99.8046875,-98.61303097,-1.569341828
200,99.85351562,-101.1117363,-1.569705455
200,99.90234375,-104.633512,-1.57006908
200,99.95117187,-110.6540821,-1.570432704
500,0,-1,0
500,0.1220703125,-0.9996457474,-0.01414195129
500,0.244140625,-0.9985833409,-0.02828714702
500,0.3662109375,-0.9968138355,-0.0424388307
500,0.48828125,-0.9943389904,-0.0566002439
500,0.6103515625,-0.9911612714,-0.07077462534
500,0.732421875,-0.9872838535,-0.08496520983
500,0.8544921875,-0.9827106244,-0.09917522725
500,0.9765625,-0.9774461887,-0.1134079015
500,1.098632812,-0.9714958728,-0.1276664491
500,1.220703125,-0.9648657304,-0.1419540786
500,1.342773438,-0.9575625492,-0.1562739884
500,1.46484375,-0.9495938573,-0.1706293663
500,1.586914063,-0.9409679309,-0.1850233871
500,1.708984375,-0.9316938024,-0.1994592119
500,1.831054688,-0.9217812685,-0.2139399858
500,1.953125,-0.9112408995,-0.2284688365
500,2.075195312,-0.9000840483,-0.2430488719
500,2.197265625,-0.8883228602,-0.2576831783
500,2.319335938,-0.875970282,-0.2723748185
500,2.44140625,-0.8630400727,-0.2871268285
500,2.563476563,-0.8495468126,-0.301942216
500,2.685546875,-0.8355059137,-0.3168239566
500,2.807617188,-0.8209336289,-0.3317749919
500,2.9296875,-0.8058470614,-0.3467982255
500,3.051757813,-0.7902641736,-0.3618965203
500,3.173828125,-0.7742037955,-0.3770726948
500,3.295898438,-0.7576856323,-0.3923295191
500,3.41796875,-0.7407302707,-0.4076697113
500,3.540039063,-0.7233591853,-0.4230959334
500,3.662109375,-0.7055947427,-0.4386107864
500,3.784179688,-0.6874602044,-0.4542168062
500,3.90625,-0.6689797292,-0.4699164588
